GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,ItemController,69,43,0,2,18,13,3,5,3,4
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,OrderController,76,64,8,2,25,17,7,5,3,4
ForenameSurname-SoftwareMarch16,com.qa.ims,Ims,212,33,17,2,52,7,16,4,4,3
ForenameSurname-SoftwareMarch16,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,ItemDaoMysql,0,334,0,2,0,71,0,11,0,10
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,OrderDaoMysql,4,401,0,14,2,92,2,15,2,8
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,CustomerDaoMysql,0,337,0,2,0,71,0,11,0,10
ForenameSurname-SoftwareMarch16,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
ForenameSurname-SoftwareMarch16,com.qa.ims.services,OrderServices,0,28,0,0,0,8,0,5,0,5
ForenameSurname-SoftwareMarch16,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
ForenameSurname-SoftwareMarch16,com.qa.ims.utils,Utils,9,0,0,0,2,0,2,0,2,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Order,0,118,0,2,0,26,0,13,0,12
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,8,3,3,2,3
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Item,0,74,0,0,0,24,0,11,0,11
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
